name,sector,years,funding,text
InTouch Health,Health Care,2002-2020,$78M,"company intouch health. sector health care. what they did telemedicine robots. why they failed scalability issues and sold. lesson plan for acquisition. causes: giants, competition, acquisition_stagnation"
iRhythm,Health Care,2006-2015,$150M,"company irhythm. sector health care. what they did heart monitoring patch. why they failed reimbursement woes early. lesson payer alignment is key. causes: poor_market_fit, monetization_failure, execution_flaws"
Jawbone,Health Care,2006-2017,$930M,"company jawbone. sector health care. what they did fitness trackers. why they failed competition and quality issues. lesson differentiate or die. causes: giants, competition, execution_flaws"
Kaiku Health,Health Care,2012-2020,$6M,"company kaiku health. sector health care. what they did cancer symptom tracking. why they failed slow adoption and acquired. lesson traction matters. causes: poor_market_fit, acquisition_stagnation"
Kyruus,Health Care,2010-2015,$153M,company kyruus. sector health care. what they did doctor matching early. why they failed lack of traction and pivot. lesson validate demand early. causes: poor_market_fit
Lantern,Health Care,2012-2018,$21M,"company lantern. sector health care. what they did digital mental health. why they failed slow adoption and misjudgment. lesson plan for long cycles. causes: poor_market_fit, monetization_failure, overhype"
Lantern Pharma,Health Care,2013-2018,$26M,"company lantern pharma. sector health care. what they did ai drug repurposing. why they failed slow results and pivot. lesson quick wins matter. causes: giants, competition, execution_flaws, overhype"
Luminary Labs,Health Care,2017-2021,$12M,"company luminary labs. sector health care. what they did ai skincare diagnostics. why they failed crowded market and cash out. lesson validate niche early. causes: giants, no_budget, competition"
Lumeon,Health Care,2005-2023,$92M,"company lumeon. sector health care. what they did care orchestration. why they failed slow sales and winddown. lesson budget for long runways. causes: poor_market_fit, monetization_failure"
MediChain,Health Care,2017-2020,$15M,"company medichain. sector health care. what they did blockchain medical records. why they failed lost to epic and crypto crash. lesson realworld buyin needed. causes: giants, no_budget, competition, poor_market_fit, trend_shifts"
Medicasafe,Health Care,2012-2018,$5M,"company medicasafe. sector health care. what they did smart pill dispenser. why they failed high costs and low uptake. lesson simple beats complex. causes: no_budget, poor_market_fit, niche_limits"
Mindstrong,Health Care,2014-2023,$160M,"company mindstrong. sector health care. what they did mental health via data. why they failed no actionable insights. lesson prove outcomes. causes: giants, competition, poor_market_fit, monetization_failure, overhype"
Modern Health,Health Care,2017-2023,$167M,"company modern health. sector health care. what they did mental health for employees. why they failed layoffs and valuation cuts. lesson growth must match fundamentals. causes: giants, competition, execution_flaws"
Nurx,Health Care,2014-2019,$115M,"company nurx. sector health care. what they did telehealth birth control. why they failed reg hurdles and competition. lesson scale and compliance. causes: giants, competition, regulatory_pressure"
Olive,Health Care,2012-2023,$856M,"company olive. sector health care. what they did ai healthcare automation. why they failed downturn and mismanagement. lesson adapt to shifts. causes: no_budget, execution_flaws, trend_shifts"
Omada Health,Health Care,2011-2016,$550M,"company omada health. sector health care. what they did diabetes prevention early. why they failed slow payer adoption and pivot. lesson payers drive success. causes: poor_market_fit, monetization_failure"
Outset Medical,Health Care,2010-2015,$200M,"company outset medical. sector health care. what they did portable dialysis early. why they failed production snags and competition. lesson flawless execution needed. causes: giants, no_budget, competition, execution_flaws"
Pear Therapeutics,Health Care,2013-2023,$409M,"company pear therapeutics. sector health care. what they did digital therapeutics. why they failed reimbursement woes. lesson therapeutics need economics. causes: giants, competition, poor_market_fit, monetization_failure"
PillPack,Health Care,2013-2018,$118M,"company pillpack. sector health care. what they did presorted meds delivery. why they failed profitability woes and sold. lesson scale or get gobbled. causes: acquisition_stagnation, monetization_failure"
Proteus Digital Health,Health Care,2004-2020,$500M,"company proteus digital health. sector health care. what they did ingestible sensors. why they failed failed partnership and costs. lesson dont bet on one partner. causes: no_budget, execution_flaws, regulatory_pressure"
Quit Genius,Health Care,2017-2023,$77M,"company quit genius. sector health care. what they did quit smoking app. why they failed low retention and adoption. lesson stickiness beyond novelty. causes: poor_market_fit, monetization_failure"
Scanadu,Health Care,2012-2016,$35M,"company scanadu. sector health care. what they did home vitals device. why they failed regulatory delays and competition. lesson speed to market matters. causes: giants, competition, regulatory_pressure"
Sherpaa,Health Care,2012-2019,$22M,"company sherpaa. sector health care. what they did virtual primary care. why they failed slow uptake and sold. lesson big clients fast. causes: giants, competition, poor_market_fit, acquisition_stagnation"
Sprig,Health Care,2013-2017,$56M,"company sprig. sector health care. what they did healthy meal delivery. why they failed high costs and competition. lesson need cost advantage. causes: giants, no_budget, competition"
StethoCloud,Health Care,2012-2015,$1.5M,"company stethocloud. sector health care. what they did digital stethoscope. why they failed distribution and funding. lesson mission needs business model. causes: no_budget, poor_market_fit, niche_limits"
Theranos,Health Care,2003-2018,$1.4B,"company theranos. sector health care. what they did blood testing tech. why they failed fraud and tech didnt work. lesson transparency is key. causes: toxicity/trust_issues, overhype"
Tinnitracks,Health Care,2013-2020,$6M,"company tinnitracks. sector health care. what they did tinnitus treatment app. why they failed limited proof and market. lesson evidence matters. causes: giants, competition, poor_market_fit, niche_limits"
uBiome,Health Care,2012-2019,$105M,company ubiome. sector health care. what they did microbiome testing. why they failed fraudulent billing. lesson ethics are nonnegotiable. causes: toxicity/trust_issues
Zeo,Health Care,2008-2013,$30M,"company zeo. sector health care. what they did sleep tracking headband. why they failed competition and no viable model. lesson broad appeal needed. causes: giants, competition, poor_market_fit, monetization_failure, niche_limits"
Cafe X,Accommodation and Food Services,6 (2015-2021),$15M,"company cafe x. sector accommodation and food services. what they did robotic coffee kiosks. why they failed closed 2021 low adoption lost to starbucks. lesson humans trump robots. causes: giants, competition, poor_market_fit, high_operational_costs"
Caviar,Accommodation and Food Services,8 (2012-2020),$90M,"company caviar. sector accommodation and food services. what they did premium food delivery. why they failed sold 2020 couldnt scale lost to doordash. lesson premium loses to scale. causes: giants, competition, acquisition_stagnation"
Chef'd,Accommodation and Food Services,5 (2014-2019),$35M,"company chefd. sector accommodation and food services. what they did meal kit delivery. why they failed closed 2019 high costs lost to blue apron. lesson costs cook meal kits. causes: giants, competition, high_operational_costs"
ChowNow,Accommodation and Food Services,12 (2011-2023),$64M,"company chownow. sector accommodation and food services. what they did restaurant ordering platform. why they failed faded 2023 lost to doordash. lesson middlemen get squeezed. causes: giants, competition"
Clover,Accommodation and Food Services,8 (2012-2020),$20M,"company clover. sector accommodation and food services. what they did plantbased fast food chain. why they failed closed 2020 niche lost to mcdonalds. lesson niche eats need taste. causes: giants, competition, niche_limits, high_operational_costs"
Curb Food,Accommodation and Food Services,4 (2019-2023),$10M,"company curb food. sector accommodation and food services. what they did automated ghost kitchens. why they failed closed 2023 tech glitches lost to doordash. lesson robots need results. causes: giants, competition, execution_flaws, high_operational_costs"
Dinner Lab,Accommodation and Food Services,6 (2011-2017),$10M,"company dinner lab. sector accommodation and food services. what they did popup dining events. why they failed closed 2017 high costs low demand. lesson events need economics. causes: no_budget, poor_market_fit, high_operational_costs"
Flowtab,Accommodation and Food Services,3 (2011-2014),$2M,"company flowtab. sector accommodation and food services. what they did bar ordering app. why they failed closed 2014 low adoption lost to pos systems. lesson convenience needs converts. causes: no_budget, poor_market_fit"
Foodler,Accommodation and Food Services,14 (2004-2018),$5M,"company foodler. sector accommodation and food services. what they did food delivery aggregator. why they failed sold 2018 lost to grubhub. lesson aggregators need scale. causes: giants, competition, acquisition_stagnation"
Grubwithus,Accommodation and Food Services,5 (2010-2015),$8M,"company grubwithus. sector accommodation and food services. what they did social dining events. why they failed closed 2015 waned demand high costs. lesson social dining needs crowd. causes: no_budget, poor_market_fit, high_operational_costs"
Maple,Accommodation and Food Services,5 (2014-2019),$50M,"company maple. sector accommodation and food services. what they did premium meal delivery. why they failed closed 2019 high costs lost to doordash. lesson premium food needs profit. causes: giants, competition, high_operational_costs"
Munchery,Accommodation and Food Services,8 (2010-2018),$125M,"company munchery. sector accommodation and food services. what they did chefprepared meal delivery. why they failed bankruptcy 2018 overexpansion lost to grubhub. lesson expansion eats cash. causes: giants, competition, execution_flaws, high_operational_costs"
Nosh,Accommodation and Food Services,4 (2013-2017),$5M,"company nosh. sector accommodation and food services. what they did healthy meal delivery. why they failed closed 2017 low demand lost to hellofresh. lesson health needs scale. causes: giants, no_budget, competition, high_operational_costs"
OrderAhead,Accommodation and Food Services,6 (2011-2017),$10M,"company orderahead. sector accommodation and food services. what they did restaurant pickup app. why they failed sold 2017 lost to doordash. lesson pickup needs giants. causes: giants, competition, acquisition_stagnation, trend_shifts"
Presto,Accommodation and Food Services,5 (2015-2020),$30M,"company presto. sector accommodation and food services. what they did restaurant ordering tablets. why they failed closed 2020 low adoption lost to ziosk. lesson tech needs diners. causes: competition, poor_market_fit, high_operational_costs"
Revolution Foods,Accommodation and Food Services,15 (2006-2021),$120M,"company revolution foods. sector accommodation and food services. what they did healthy school meals. why they failed faded 2021 high costs lost to aramark. lesson schools squeeze margins. causes: competition, high_operational_costs"
Ritual,Accommodation and Food Services,8 (2014-2022),$135M,"company ritual. sector accommodation and food services. what they did food pickup app. why they failed faded 2022 lost to doordash pickup waned. lesson delivery beats pickup. causes: giants, competition, trend_shifts, high_operational_costs"
SpoonRocket,Accommodation and Food Services,4 (2013-2017),$13M,"company spoonrocket. sector accommodation and food services. what they did ondemand meal delivery. why they failed closed 2017 thin margins lost to doordash. lesson speed costs too much. causes: giants, no_budget, competition, monetization_failure"
Sprig,Accommodation and Food Services,4 (2013-2017),$57M,"company sprig. sector accommodation and food services. what they did organic meal delivery. why they failed closed 2017 high costs lost to uber eats. lesson organics pricey. causes: giants, competition, high_operational_costs"
Tonx,Accommodation and Food Services,5 (2012-2017),$4M,"company tonx. sector accommodation and food services. what they did coffee subscription service. why they failed sold 2017 lost to blue bottle. lesson beans need scale. causes: giants, acquisition_stagnation"
Zesty,Accommodation and Food Services,7 (2012-2019),$20M,"company zesty. sector accommodation and food services. what they did healthy meal delivery. why they failed closed 2019 high costs lost to doordash. lesson health needs scale. causes: giants, competition, monetization_failure, high_operational_costs"
Zomato Base,Accommodation and Food Services,5 (2015-2020),$660M (Zomato),company zomato base. sector accommodation and food services. what they did restaurant management tool. why they failed phased out 2020 lost to toast. lesson tools need focus. causes: competition
Deskbeers,Accommodation and Food Services,5 (2014-2019),$1M,"company deskbeers. sector accommodation and food services. what they did craft beer subscription. why they failed closed 2019 niche lost to local bars. lesson booze needs breadth. causes: giants, no_budget, niche_limits"
HelloFresh Recipe,Accommodation and Food Services,8 (2012-2020),$300M (HelloFresh),"company hellofresh recipe. sector accommodation and food services. what they did recipe platform spinoff. why they failed phased out 2020 lost to blue apron. lesson spinoffs need spark. causes: giants, competition"
Tavour,Accommodation and Food Services,9 (2013-2022),$10M,"company tavour. sector accommodation and food services. what they did craft beer delivery. why they failed faded 2022 lost to total wine. lesson craft needs scale. causes: giants, niche_limits"
Tastemade Travel,Accommodation and Food Services,5 (2017-2022),$80M (Tastemade),"company tastemade travel. sector accommodation and food services. what they did foodtourism platform. why they failed faded 2022 low demand lost to airbnb. lesson travel eats budgets. causes: giants, competition, poor_market_fit"
Avant,Finance and Insurance,2012-2023,$655M,"company avant. sector finance and insurance. what they did online personal loans. why they failed lost to lendingclub and high defaults. lesson lending needs risk balance. causes: giants, no_budget, competition"
Bitpass,Finance and Insurance,2002-2008,$2M,"company bitpass. sector finance and insurance. what they did micropayments platform. why they failed lost to paypal and low adoption. lesson micropayments need mass use. causes: giants, competition, poor_market_fit"
Cake Financial,Finance and Insurance,2006-2011,$3M,"company cake financial. sector finance and insurance. what they did portfolio tracking tool. why they failed lost to mint and sold to tradeking. lesson finance tools need scale. causes: giants, competition, acquisition_stagnation"
Circle,Finance and Insurance,2013-2023,$500M,"company circle. sector finance and insurance. what they did crypto payments and stablecoin. why they failed lost to coinbase and market shifts. lesson crypto needs stability. causes: giants, competition, trend_shifts"
Clarity Money,Finance and Insurance,2016-2022,$11M,"company clarity money. sector finance and insurance. what they did personal finance app. why they failed lost to mintacorns and sold to goldman. lesson finance apps need edge. causes: giants, competition, acquisition_stagnation"
Clinkle,Finance and Insurance,2011-2016,$30M,"company clinkle. sector finance and insurance. what they did mobile wallet. why they failed no product vs apple paypaypal. lesson execution over promises. causes: giants, competition, execution_flaws, overhype"
Coinbase NFT,Finance and Insurance,2021-2023,$0 (Coinbase-funded),"company coinbase nft. sector finance and insurance. what they did nft marketplace. why they failed lost to opensea and nft crash. lesson nfts need timing. causes: giants, competition, trend_shifts"
FundersClub,Finance and Insurance,2012-2022,$20M,"company fundersclub. sector finance and insurance. what they did crowdfunding for startups. why they failed lost to kickstarter and low roi. lesson crowdfunding needs hits. causes: giants, competition, monetization_failure"
Fuze Network,Finance and Insurance,2010-2016,$5M,"company fuze network. sector finance and insurance. what they did prepaid card payments. why they failed lost to green dot and small scale. lesson prepaid needs reach. causes: giants, competition, niche_limits"
Indiegogo Life,Finance and Insurance,2014-2019,$10M (est.),"company indiegogo life. sector finance and insurance. what they did personal crowdfunding. why they failed lost to gofundme and niche focus. lesson personal funding needs appeal. causes: giants, competition, poor_market_fit, niche_limits"
Isentium,Finance and Insurance,2012-2020,$15M,"company isentium. sector finance and insurance. what they did social sentiment for trading. why they failed lost to bloomberg and low uptake. lesson trading tools need traction. causes: giants, competition, poor_market_fit"
LendUp,Finance and Insurance,2012-2021,$350M,"company lendup. sector finance and insurance. what they did loans for subprime borrowers. why they failed regulatory fines and opploans competition. lesson fintech cant skirt regs. causes: giants, competition, toxicity/trust_issues, regulatory_pressure"
LendingClub,Finance and Insurance,2006-2021,$1B,"company lendingclub. sector finance and insurance. what they did p2p lending platform. why they failed lost to banks and trust issues. lesson p2p needs trust. causes: giants, competition, toxicity/trust_issues"
LendLayer,Finance and Insurance,2013-2017,$0.4M,"company lendlayer. sector finance and insurance. what they did coding bootcamp loans. why they failed lost to affirm and sold. lesson small niches get swallowed. causes: giants, competition, acquisition_stagnation, niche_limits"
Loyal3,Finance and Insurance,2008-2018,$30M,"company loyal3. sector finance and insurance. what they did commissionfree brokerage. why they failed lost to robinhood and closed. lesson brokerages need volume. causes: giants, competition"
Money360,Finance and Insurance,2012-2020,$10M (est.),"company money360. sector finance and insurance. what they did real estate lending platform. why they failed lost to fundrise and slow growth. lesson lending needs scale. causes: giants, competition"
Monitor110,Finance and Insurance,2005-2008,$3M (est.),"company monitor110. sector finance and insurance. what they did financial data aggregator. why they failed lost to bloomberg and early market. lesson timing is key. causes: giants, competition, poor_market_fit"
Mozido,Finance and Insurance,2008-2017,$185M,"company mozido. sector finance and insurance. what they did mobile payments platform. why they failed lost to square and mismanagement. lesson payments need execution. causes: giants, competition, execution_flaws"
Pawngo,Finance and Insurance,2011-2017,$6M,"company pawngo. sector finance and insurance. what they did online pawn lending. why they failed lost to traditional pawnshops and niche. lesson niche lending needs demand. causes: competition, poor_market_fit, niche_limits"
Pay By Touch,Finance and Insurance,2002-2007,$300M (est.),"company pay by touch. sector finance and insurance. what they did biometric payments. why they failed lost to paypal and tech issues. lesson biometrics need reliability. causes: giants, competition, execution_flaws"
Plum Will,Finance and Insurance,2015-2020,$2M (est.),"company plum will. sector finance and insurance. what they did digital estate planning. why they failed lost to legalzoom and low uptake. lesson estate tech needs traction. causes: giants, competition, poor_market_fit"
PoundPay,Finance and Insurance,2009-2013,$1M (est.),"company poundpay. sector finance and insurance. what they did payment gateway. why they failed lost to stripe and sold. lesson payments need scale. causes: giants, competition, acquisition_stagnation"
ReadyForZero,Finance and Insurance,2010-2017,$5M,"company readyforzero. sector finance and insurance. what they did debt management app. why they failed lost to credit karma and sold. lesson debt tools need edge. causes: giants, competition, acquisition_stagnation"
RushCard,Finance and Insurance,2003-2018,$20M (est.),"company rushcard. sector finance and insurance. what they did prepaid debit card. why they failed lost to chime and trust issues. lesson prepaid needs trust. causes: giants, competition, toxicity/trust_issues"
Seed,Finance and Insurance,2012-2017,$5M,"company seed. sector finance and insurance. what they did small biz banking. why they failed lost to brex and closed. lesson banking needs scale. causes: giants, competition"
Sensible,Finance and Insurance,2016-2020,$4M (est.),"company sensible. sector finance and insurance. what they did personal finance for gig workers. why they failed lost to even and niche. lesson niche finance needs reach. causes: giants, competition, poor_market_fit, niche_limits"
SigFig,Finance and Insurance,2007-2018,$70M,"company sigfig. sector finance and insurance. what they did roboadvisor. why they failed lost to wealthfront and sold. lesson roboadvisors need edge. causes: giants, competition, acquisition_stagnation"
Simple,Finance and Insurance,2009-2016,$25M,"company simple. sector finance and insurance. what they did neobank with budgeting. why they failed lost to chimeally and shut postbbva sale. lesson neobanks need independence. causes: giants, competition, acquisition_stagnation"
SmartAsset,Finance and Insurance,2012-2023,$161M,"company smartasset. sector finance and insurance. what they did financial planning tools. why they failed lost to nerdwallet and slow growth. lesson planning needs traction. causes: giants, competition"
SoFi Social,Finance and Insurance,2016-2021,$0 (SoFi-funded),"company sofi social. sector finance and insurance. what they did social finance platform. why they failed lost to robinhood and niche. lesson social finance needs scale. causes: giants, competition, poor_market_fit, niche_limits"
Square Cash,Finance and Insurance,2013-2020,$0 (Square-funded),"company square cash. sector finance and insurance. what they did p2p payments early. why they failed lost to venmo and pivoted. lesson payments need dominance. causes: giants, competition"
Taulia,Finance and Insurance,2009-2022,$200M,"company taulia. sector finance and insurance. what they did supply chain finance. why they failed lost to coupa and sold. lesson finance needs edge. causes: giants, competition, acquisition_stagnation"
Tilt,Finance and Insurance,2012-2018,$67M,"company tilt. sector finance and insurance. what they did social crowdfunding. why they failed lost to gofundme and sold. lesson crowdfunding needs mass. causes: giants, competition, acquisition_stagnation"
Toshl,Finance and Insurance,2008-2020,$1M (est.),"company toshl. sector finance and insurance. what they did personal finance app. why they failed lost to mint and low scale. lesson finance apps need reach. causes: giants, competition"
TrustEgg,Finance and Insurance,2012-2016,$0.5M (est.),"company trustegg. sector finance and insurance. what they did crowdfunded trusts. why they failed lost to traditional trusts and niche. lesson niche needs demand. causes: competition, poor_market_fit, niche_limits"
Upstart,Finance and Insurance,2012-2023,$144M,"company upstart. sector finance and insurance. what they did aidriven lending. why they failed lost to banks and high defaults. lesson lending needs stability. causes: giants, no_budget, competition"
Vemo,Finance and Insurance,2015-2021,$20M (est.),"company vemo. sector finance and insurance. what they did incomeshare agreements. why they failed lost to lambda school and regs. lesson isas need traction. causes: giants, competition, regulatory_pressure"
Venmo Groups,Finance and Insurance,2015-2020,$0 (Venmo-funded),"company venmo groups. sector finance and insurance. what they did group payments feature. why they failed lost to splitwise and niche. lesson niche payments need use. causes: giants, competition, poor_market_fit, niche_limits"
Vittana,Finance and Insurance,2008-2015,$5M (est.),"company vittana. sector finance and insurance. what they did student microloans. why they failed lost to sofi and low scale. lesson microloans need reach. causes: giants, competition, niche_limits"
Wealthfront Cash,Finance and Insurance,2018-2023,$0 (Wealthfront-funded),"company wealthfront cash. sector finance and insurance. what they did highyield savings. why they failed lost to ally and pivoted. lesson savings need edge. causes: giants, competition"
Wealthsimple Trade,Finance and Insurance,2017-2023,$0 (Wealthsimple-funded),"company wealthsimple trade. sector finance and insurance. what they did commissionfree trading. why they failed lost to robinhood and pivoted. lesson trading needs volume. causes: giants, competition"
Wepay,Finance and Insurance,2008-2020,$75M,"company wepay. sector finance and insurance. what they did payment processing. why they failed lost to stripe and sold. lesson payments need scale. causes: giants, competition, acquisition_stagnation"
Wesabe,Finance and Insurance,2006-2011,$4M,"company wesabe. sector finance and insurance. what they did personal finance app. why they failed lost to mint and early market. lesson timing matters. causes: giants, competition, poor_market_fit"
Wise,Finance and Insurance,2011-2023,$689M,"company wise. sector finance and insurance. what they did international transfers. why they failed lost to paypal and high costs. lesson transfers need edge. causes: giants, no_budget, competition"
YayPay,Finance and Insurance,2015-2021,$15M,"company yaypay. sector finance and insurance. what they did accounts receivable automation. why they failed lost to bill.com and sold. lesson automation needs scale. causes: giants, competition, acquisition_stagnation"
Ycharts,Finance and Insurance,2009-2021,$15M,"company ycharts. sector finance and insurance. what they did financial data platform. why they failed lost to bloomberg and sold. lesson data needs dominance. causes: giants, competition, acquisition_stagnation"
ZestFinance,Finance and Insurance,2009-2020,$112M,"company zestfinance. sector finance and insurance. what they did ai underwriting loans. why they failed lost to upstart and regs. lesson lending needs compliance. causes: giants, competition, regulatory_pressure"
Airware,Manufacturing,2011-2018,$70M,"company airware. sector manufacturing. what they did drone hardwaresoftware for industry. why they failed lost to dji and high costs. lesson drones need simplicity. causes: giants, no_budget, competition"
Anki,Manufacturing,2010-2019,$200M,"company anki. sector manufacturing. what they did aipowered toy robots. why they failed high costs and competition from legosphero. lesson consumer hardware needs mass pricing. causes: giants, no_budget, competition"
Aptera Motors,Manufacturing,2005-2011,$40M,"company aptera motors. sector manufacturing. what they did threewheeled electric vehicles. why they failed lost to tesla and quirky design. lesson evs need mainstream appeal. causes: giants, competition, poor_market_fit"
Aria Insights,Manufacturing,2008-2019,$39M,"company aria insights. sector manufacturing. what they did tethered industrial drones. why they failed small market and lost to djiskydio. lesson hardware niches need big adopters. causes: giants, competition, poor_market_fit, niche_limits"
August Home,Manufacturing,2012-2017,$73M,"company august home. sector manufacturing. what they did smart locks and doorbells. why they failed lost to ringnest and acquired. lesson smart home needs ecosystem power. causes: giants, competition, acquisition_stagnation"
BeagleBone,Manufacturing,2011-2018,$5M,"company beaglebone. sector manufacturing. what they did opensource computers. why they failed lost to raspberry pi and small niche. lesson opensource needs community. causes: giants, competition, poor_market_fit, niche_limits"
Better Place,Manufacturing,2007-2013,$850M,"company better place. sector manufacturing. what they did evs with swappable batteries. why they failed lost to tesla and high infra costs. lesson infra needs buyin. causes: giants, no_budget, competition"
Butterfly Network,Manufacturing,2011-2020,$400M,"company butterfly network. sector manufacturing. what they did handheld ultrasound device. why they failed lost to gephilips and slow adoption. lesson medical hardware needs fast inroads. causes: giants, no_budget, competition, poor_market_fit"
Cubelets,Manufacturing,2011-2020,$10M,"company cubelets. sector manufacturing. what they did modular toy robots. why they failed lost to legosphero and niche focus. lesson edtech needs scale. causes: giants, competition, poor_market_fit, niche_limits"
Dyson's EV Project,Manufacturing,2017-2019,$2.7B,"company dysons ev project. sector manufacturing. what they did electric vehicle. why they failed lost to teslanio and high costs. lesson evs are a giants game. causes: giants, no_budget, competition, overhype"
